Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,15-11-2023,,,,,,,,
Gegevens beschikbaar:,10-06-2013,tot:,18-12-2020,,,,,,,,
Datum: ,15-11-2023,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39D2737,001,,157642,433072,514,10-06-2013,10-06-2013,18-12-2020,509,-6,-334,-434


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39D2737,001,29-12-2013,141,147,368,,,,,,
B39D2737,001,30-12-2013,131,137,378,,,,,,
B39D2737,001,31-12-2013,124,130,385,,,,,,
B39D2737,001,01-01-2014,119,125,390,,,,,,
B39D2737,001,02-01-2014,119,125,390,,,,,,
B39D2737,001,03-01-2014,117,123,392,,,,,,
B39D2737,001,04-01-2014,116,122,393,,,,,,
B39D2737,001,05-01-2014,120,126,389,,,,,,
B39D2737,001,06-01-2014,119,125,390,,,,,,
B39D2737,001,07-01-2014,120,126,389,,,,,,
B39D2737,001,08-01-2014,121,127,388,,,,,,
B39D2737,001,09-01-2014,116,122,393,,,,,,
B39D2737,001,10-01-2014,116,122,393,,,,,,
B39D2737,001,11-01-2014,115,121,394,,,,,,
B39D2737,001,12-01-2014,116,122,393,,,,,,
B39D2737,001,13-01-2014,117,123,392,,,,,,
B39D2737,001,14-01-2014,119,125,390,,,,,,
B39D2737,001,15-01-2014,121,127,388,,,,,,
B39D2737,001,16-01-2014,123,129,386,,,,,,
B39D2737,001,17-01-2014,127,133,382,,,,,,
