Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2023/11/05 19:11:14
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
HBpb003-1,001,HBpb003-1,169967.06,433090.67,730,,792,471,394,294,2021/09/23,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
HBpb003-1,001,2021/10/06 06:58:00,474,
HBpb003-1,001,2021/10/06 07:58:00,475,
HBpb003-1,001,2021/10/06 08:58:00,475,
HBpb003-1,001,2021/10/06 09:58:00,476,
HBpb003-1,001,2021/10/06 10:58:00,476,
HBpb003-1,001,2021/10/06 11:58:00,477,
HBpb003-1,001,2021/10/06 12:58:00,478,
HBpb003-1,001,2021/10/06 13:58:00,479,
HBpb003-1,001,2021/10/06 14:58:00,481,
HBpb003-1,001,2021/10/06 15:58:00,483,
HBpb003-1,001,2021/10/06 16:58:00,484,
HBpb003-1,001,2021/10/06 17:58:00,486,
HBpb003-1,001,2021/10/06 18:58:00,486,
HBpb003-1,001,2021/10/06 19:58:00,487,
HBpb003-1,001,2021/10/06 20:58:00,488,
HBpb003-1,001,2021/10/06 21:58:00,488,
HBpb003-1,001,2021/10/06 22:58:00,488,
HBpb003-1,001,2021/10/06 23:58:00,489,
HBpb003-1,001,2021/10/07 00:58:00,489,
HBpb003-1,001,2021/10/07 01:58:00,489,
HBpb003-1,001,2021/10/07 02:58:00,489,
HBpb003-1,001,2021/10/07 03:58:00,489,
HBpb003-1,001,2021/10/07 04:58:00,489,
HBpb003-1,001,2021/10/07 05:58:00,489,
HBpb003-1,001,2021/10/07 06:58:00,489,
HBpb003-1,001,2021/10/07 07:58:00,489,
HBpb003-1,001,2021/10/07 08:58:00,489,
HBpb003-1,001,2021/10/07 09:58:00,489,
HBpb003-1,001,2021/10/07 10:58:00,489,
HBpb003-1,001,2021/10/07 11:58:00,489,
HBpb003-1,001,2021/10/07 12:58:00,489,
HBpb003-1,001,2021/10/07 13:58:00,489,
HBpb003-1,001,2021/10/07 14:58:00,489,
HBpb003-1,001,2021/10/07 15:58:00,489,
HBpb003-1,001,2021/10/07 16:58:00,489,
HBpb003-1,001,2021/10/07 17:58:00,489,
HBpb003-1,001,2021/10/07 18:58:00,489,
HBpb003-1,001,2021/10/07 19:58:00,489,
HBpb003-1,001,2021/10/07 20:58:00,489,
HBpb003-1,001,2021/10/07 21:58:00,489,
HBpb003-1,001,2021/10/07 22:58:00,489,
HBpb003-1,001,2021/10/07 23:58:00,489,
HBpb003-1,001,2021/10/08 00:58:00,489,
HBpb003-1,001,2021/10/08 01:58:00,489,
HBpb003-1,001,2021/10/08 02:58:00,489,
HBpb003-1,001,2021/10/08 03:58:00,489,
HBpb003-1,001,2021/10/08 04:58:00,489,
HBpb003-1,001,2021/10/08 05:58:00,489,
HBpb003-1,001,2021/10/08 06:58:00,489,
HBpb003-1,001,2021/10/08 07:58:00,489,
HBpb003-1,001,2021/10/08 08:58:00,489,
HBpb003-1,001,2021/10/08 09:58:00,489,
HBpb003-1,001,2021/10/08 10:58:00,489,
HBpb003-1,001,2021/10/08 11:58:00,488,
HBpb003-1,001,2021/10/08 12:58:00,489,
HBpb003-1,001,2021/10/08 13:58:00,489,
HBpb003-1,001,2021/10/08 14:58:00,488,
HBpb003-1,001,2021/10/08 15:58:00,488,
HBpb003-1,001,2021/10/08 16:58:00,488,
HBpb003-1,001,2021/10/08 17:58:00,488,
HBpb003-1,001,2021/10/08 18:58:00,488,
HBpb003-1,001,2021/10/08 19:58:00,488,
HBpb003-1,001,2021/10/08 20:58:00,488,
HBpb003-1,001,2021/10/08 21:58:00,487,
HBpb003-1,001,2021/10/08 22:58:00,488,
HBpb003-1,001,2021/10/08 23:58:00,487,
HBpb003-1,001,2021/10/09 00:58:00,487,
HBpb003-1,001,2021/10/09 01:58:00,487,
HBpb003-1,001,2021/10/09 02:58:00,487,
HBpb003-1,001,2021/10/09 03:58:00,487,
HBpb003-1,001,2021/10/09 04:58:00,487,
HBpb003-1,001,2021/10/09 05:58:00,487,
HBpb003-1,001,2021/10/09 06:58:00,487,
HBpb003-1,001,2021/10/09 07:58:00,487,
HBpb003-1,001,2021/10/09 08:58:00,487,
HBpb003-1,001,2021/10/09 09:58:00,486,
HBpb003-1,001,2021/10/09 10:58:00,486,
HBpb003-1,001,2021/10/09 11:58:00,486,
HBpb003-1,001,2021/10/09 12:58:00,486,
HBpb003-1,001,2021/10/09 13:58:00,486,
HBpb003-1,001,2021/10/09 14:58:00,486,
HBpb003-1,001,2021/10/09 15:58:00,486,
HBpb003-1,001,2021/10/09 16:58:00,486,
HBpb003-1,001,2021/10/09 17:58:00,486,
HBpb003-1,001,2021/10/09 18:58:00,485,
HBpb003-1,001,2021/10/09 19:58:00,485,
HBpb003-1,001,2021/10/09 20:58:00,485,
HBpb003-1,001,2021/10/09 21:58:00,485,
HBpb003-1,001,2021/10/09 22:58:00,485,
HBpb003-1,001,2021/10/09 23:58:00,485,
HBpb003-1,001,2021/10/10 00:58:00,485,
HBpb003-1,001,2021/10/10 01:58:00,484,
HBpb003-1,001,2021/10/10 02:58:00,485,
HBpb003-1,001,2021/10/10 03:58:00,485,
HBpb003-1,001,2021/10/10 04:58:00,485,
HBpb003-1,001,2021/10/10 05:58:00,485,
HBpb003-1,001,2021/10/10 06:58:00,485,
HBpb003-1,001,2021/10/10 07:58:00,484,
HBpb003-1,001,2021/10/10 08:58:00,484,
HBpb003-1,001,2021/10/10 09:58:00,484,
HBpb003-1,001,2021/10/10 10:58:00,484,
HBpb003-1,001,2021/10/10 11:58:00,484,
HBpb003-1,001,2021/10/10 12:58:00,484,
HBpb003-1,001,2021/10/10 13:58:00,484,
HBpb003-1,001,2021/10/10 14:58:00,483,
HBpb003-1,001,2021/10/10 15:58:00,483,
HBpb003-1,001,2021/10/10 16:58:00,483,
HBpb003-1,001,2021/10/10 17:58:00,483,
HBpb003-1,001,2021/10/10 18:58:00,483,
HBpb003-1,001,2021/10/10 19:58:00,483,
HBpb003-1,001,2021/10/10 20:58:00,482,
HBpb003-1,001,2021/10/10 21:58:00,482,
HBpb003-1,001,2021/10/10 22:58:00,482,
HBpb003-1,001,2021/10/10 23:58:00,482,
HBpb003-1,001,2021/10/11 00:58:00,482,
HBpb003-1,001,2021/10/11 01:58:00,482,
HBpb003-1,001,2021/10/11 02:58:00,482,
HBpb003-1,001,2021/10/11 03:58:00,482,
HBpb003-1,001,2021/10/11 04:58:00,481,
HBpb003-1,001,2021/10/11 05:58:00,482,
HBpb003-1,001,2021/10/11 06:58:00,481,
HBpb003-1,001,2021/10/11 07:58:00,481,
